       Step     Time          Energy         fmax
GPMin:   13 21:00:58       -7.006093        0.1055
GPMin:   14 21:01:04       -7.046978        0.1240
GPMin:   15 21:01:10       -7.094912        0.1386
GPMin:   16 21:01:16       -7.138441        0.1319
GPMin:   17 21:01:23       -7.179158        0.1021
GPMin:   18 21:01:29       -7.203522        0.0583
GPMin:   19 21:01:34       -7.213300        0.0561
GPMin:   20 21:01:40       -7.215352        0.0477
GPMin:   21 21:01:45       -7.217645        0.0320
GPMin:   22 21:01:50       -7.218948        0.0219
GPMin:   23 21:01:55       -7.219400        0.0234
GPMin:   24 21:02:00       -7.221845        0.0325
GPMin:   25 21:02:06       -7.223836        0.0350
GPMin:   26 21:02:11       -7.226785        0.0428
GPMin:   27 21:02:17       -7.230522        0.0350
GPMin:   28 21:02:22       -7.234926        0.0204
GPMin:   29 21:02:27       -7.236228        0.0221
GPMin:   30 21:02:33       -7.238581        0.0237
GPMin:   31 21:02:38       -7.239274        0.0151
       Step     Time          Energy         fmax
GPMin:    0 21:02:49       -4.714377        1.3673
GPMin:    1 21:02:59       -5.705175        0.7828
GPMin:    2 21:03:08       -6.141772        0.4876
GPMin:    3 21:03:15       -6.351047        0.3230
GPMin:    4 21:03:23       -6.436896        0.2430
GPMin:    5 21:03:30       -6.475181        0.1962
GPMin:    6 21:03:37       -6.498631        0.1803
GPMin:    7 21:03:44       -6.538399        0.2315
GPMin:    8 21:03:52       -6.574256        0.2729
GPMin:    9 21:03:59       -6.609925        0.2807
GPMin:   10 21:04:05       -6.669276        0.2748
GPMin:   11 21:04:12       -6.738489        0.2643
GPMin:   12 21:04:19       -6.805528        0.2380
GPMin:   13 21:04:26       -6.856724        0.2104
GPMin:   14 21:04:32       -6.898302        0.1728
GPMin:   15 21:04:39       -6.932242        0.1346
GPMin:   16 21:04:45       -6.960639        0.1248
GPMin:   17 21:04:51       -6.987580        0.1326
GPMin:   18 21:04:57       -7.010846        0.1285
GPMin:   19 21:05:03       -7.031289        0.1082
GPMin:   20 21:05:08       -7.046539        0.0783
GPMin:   21 21:05:14       -7.055890        0.0587
GPMin:   22 21:05:19       -7.061436        0.0503
GPMin:   23 21:05:25       -7.065603        0.0460
GPMin:   24 21:05:30       -7.069250        0.0397
GPMin:   25 21:05:36       -7.071527        0.0423
GPMin:   26 21:05:42       -7.072944        0.0312
GPMin:   27 21:05:47       -7.074715        0.0277
GPMin:   28 21:05:53       -7.075939        0.0394
GPMin:   29 21:05:58       -7.077275        0.0369
GPMin:   30 21:06:04       -7.079343        0.0285
GPMin:   31 21:06:10       -7.081836        0.0416
GPMin:   32 21:06:16       -7.084728        0.0427
GPMin:   33 21:06:22       -7.089591        0.0298
GPMin:   34 21:06:28       -7.092096        0.0347
GPMin:   35 21:06:34       -7.097713        0.0405
GPMin:   36 21:06:40       -7.100302        0.0311
GPMin:   37 21:06:46       -7.103831        0.0339
GPMin:   38 21:06:51       -7.105752        0.0417
GPMin:   39 21:06:57       -7.108172        0.0242
GPMin:   40 21:07:02       -7.108812        0.0239
GPMin:   41 21:07:08       -7.109793        0.0210
GPMin:   42 21:07:13       -7.110088        0.0165
       Step     Time          Energy         fmax
GPMin:    0 21:07:24       -4.424699        1.4705
GPMin:    1 21:07:33       -5.571333        0.8164
GPMin:    2 21:07:41       -6.084883        0.4743
GPMin:    3 21:07:49       -6.315487        0.3032
GPMin:    4 21:07:56       -6.391358        0.2380
GPMin:    5 21:08:04       -6.508065        0.2147
GPMin:    6 21:08:11       -6.518868        0.1709
GPMin:    7 21:08:18       -6.578346        0.2419
